column,informativeness,question,sub_question,response_options,controversial
Q161,0.299,"Here are some statements about science and technology. How much do you agree or disagree with each of these statements? For these questions, a 1 means that you ""completely disagree"" and a 10 means that you ""completely agree."" — One of the bad effects of science is that it breaks down people's ideas of right and wrong",One of the bad effects of science is that it breaks down people's ideas of right and wrong,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q33,0.299,"Do you agree or disagree with the following statements? — When jobs are scarce, men should have more right to a job than women","When jobs are scarce, men should have more right to a job than women","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]",True
Q36,0.298,How much do you agree or disagree with the following statements? — Homosexual couples are as good parents as other couples,Homosexual couples are as good parents as other couples,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]",True
Q128,0.298,"What have been the effects of immigration on the development of New Zealand? For each of the following statements, please indicate whether you agree or disagree with it. — Increases unemployment",Increases unemployment,"['Disagree', 'Hard to say', 'Agree']",True
Q123,0.297,"What have been the effects of immigration on the development of New Zealand? For each of the following statements, please indicate whether you agree or disagree with it. — Strengthens cultural diversity",Strengthens cultural diversity,"['Disagree', 'Hard to say', 'Agree']",True
Q224,0.296,In your view how often do each of the following things occur in New Zealand's elections? — Votes are counted fairly,Votes are counted fairly,"['Very often', 'Fairly often', 'Not often', 'Not at all often']",False
Q57,0.294,"Generally speaking, would you say that most people can be trusted or that you need to be very careful in dealing with people?",,"['Most people can be trusted', 'Need to be very careful', ""Don't know""]",False
Q81,0.294,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — Charitable or humanitarian organisations",Charitable or humanitarian organisations,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q168,0.291,"Which, if any, of the following do you believe in? — Heaven",Heaven,"['Yes', 'No']",False
Q217,0.289,"Listed below are some other forms of political action people can take using internet and social media tools like Facebook, Twitter, etc. For each one please indicate whether you have done any of these things, whether you might do it, would never under any circumstances do it. — Searching information about politics and political events",Searching information about politics and political events,"['Have done', 'Might do', 'Would never do']",False
Q252,0.288,"How satisfied are you with how the political system is functioning in New Zealand these days? On the scale from 1 to 10 below, 1 means not satisfied at all and 10 means completely satisfied.",,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q210,0.286,"Here are some different forms of political action that people can take. For each one, please indicate whether you have actually done any of these things, whether you might do it or would never, under any circumstances, do it. — Joining in boycotts",Joining in boycotts,"['Have done', 'Might do', 'Would never do']",False
Q195,0.285,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Death penalty",Death penalty,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q187,0.284,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Suicide",Suicide,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q243,0.282,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell us, for each of the following things how essential you think it is as a characteristic of democracy? Use this scale where 1 means ""not at all an essential characteristic of democracy"" and 10 means it definitely is ""an essential characteristic of democracy"". — People choose their leaders in free elections",People choose their leaders in free elections,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q35,0.278,"Do you agree or disagree with the following statements? — If a woman earns more than her husband, it is almost certain to cause problems","If a woman earns more than her husband, it is almost certain to cause problems","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]",True
Q117,0.278,"Among the following groups of people, how many do you believe are involved in corruption? — Journalists and media",Journalists and media,"['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know""]",False
Q212,0.276,"Here are some different forms of political action that people can take. For each one, please indicate whether you have actually done any of these things, whether you might do it or would never, under any circumstances, do it. — Joining strikes",Joining strikes,"['Have done', 'Might do', 'Would never do']",False
Q250,0.276,"How important is it for you to live in a country that is governed democratically? On this scale where 1 means it is ""not at all important"" and 10 means ""absolutely important"" what position would you choose?",,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q156,0.275,"Here is another list. In your opinion, which one of these is most important? And which would be the next most important?",,"['A stable economy', 'Progress toward a less impersonal and more humane society', 'Progress toward a society where ideas count more than money', 'The fight against crime']",False
Q62,0.272,Here are some questions about how much you trust people from various groups. Please indicate how much you trust... — People of another religion,People of another religion,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]",False
Q153,0.269,"People sometimes talk about what the aims of this country should be for the next ten years. Listed below are some of the goals which different people would give top priority. Would you please say which one of these you, yourself, consider the most important? And which would be the next most important?",,"['A high level of economic growth', 'Strong defence forces', 'People have more say at work and in their communities', 'Making cities and countryside more beautiful']",False
Q113,0.268,"Among the following groups of people, how many do you believe are involved in corruption? — State authorities",State authorities,"['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know""]",False
Q63,0.268,Here are some questions about how much you trust people from various groups. Please indicate how much you trust... — People of another nationality,People of another nationality,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]",False
Q165,0.267,"Which, if any, of the following do you believe in? — God",God,"['Yes', 'No']",False
Q173,0.265,"Independently of whether you go to religious services or not, would you say you are:",,"['A religious person', 'Not a religious person', 'An atheist']",False
Q6,0.264,"Please indicate, for each of the following, how important it is in your life. — Religion",Religion,"['Very important', 'Rather important', 'Not very important', 'Not at all important', ""Don't know""]",False
Q216,0.264,"For each social activism action, have you done it, might do it, or would never do it? — Encouraging others to vote",Encouraging others to vote,"['Have done', 'Might do', 'Would never do']",False
Q114,0.264,"Among the following groups of people, how many do you believe are involved in corruption? — Business executives",Business executives,"['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know""]",False
Q219,0.262,"Listed below are some other forms of political action people can take using internet and social media tools like Facebook, Twitter, etc. For each one please indicate whether you have done any of these things, whether you might do it, would never under any circumstances do it. — Encouraging other people to take any form of political action",Encouraging other people to take any form of political action,"['Have done', 'Might do', 'Would never do']",False
Q75,0.261,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — Universities",Universities,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q231,0.26,In your view how often do each of the following things occur in New Zealand's elections? — Voters are threatened with violence at the polls,Voters are threatened with violence at the polls,"['Very often', 'Fairly often', 'Not often', 'Not at all often']",False
Q106,0.26,How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right. — Incomes should be made more equal vs There should be greater incentives for individual effort,Incomes should be made more equal vs There should be greater incentives for individual effort,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q122,0.259,"What have been the effects of immigration on the development of New Zealand? For each of the following statements, please indicate whether you agree or disagree with it. — Fills important job vacancies",Fills important job vacancies,"['Disagree', 'Hard to say', 'Agree']",True
Q234A,0.255,How much does the political system allow you to have a say?,,"['A great deal', 'A lot', 'Some', 'Very little', 'Not at all']",False
Q70,0.255,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — The courts",The courts,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q80,0.255,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — Women's organisations",Women's organisations,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",True
Q108,0.251,How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right. — Government should take more responsibility vs People should take more responsibility,Government should take more responsibility vs People should take more responsibility,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q61,0.25,Here are some questions about how much you trust people from various groups. Please indicate how much you trust... — People you meet for the first time,People you meet for the first time,"['Trust completely', 'Trust somewhat', 'Do not trust very much', 'Do not trust at all', ""Don't know""]",False
Q34,0.249,"Do you agree or disagree with the following statements? — When jobs are scarce, employers should give priority to New Zealanders over immigrants","When jobs are scarce, employers should give priority to New Zealanders over immigrants","['Strongly agree', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]",True
Q130,0.249,How about people from other countries coming here to work. Which one of the following do you think the government should do?,,"['Let anyone come who wants to', 'Let people come as long as there are jobs available', 'Place strict limits on the number who can come here', 'Prohibit people coming here from other countries', ""Don't know""]",False
Q77,0.249,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — Major companies",Major companies,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q199,0.248,How interested would you say you are in politics?,,"['Very interested', 'Somewhat interested', 'Not very interested', 'Not at all interested']",False
Q218,0.247,"Listed below are some other forms of political action people can take using internet and social media tools like Facebook, Twitter, etc. For each one please indicate whether you have done any of these things, whether you might do it, would never under any circumstances do it. — Signing an electronic petition",Signing an electronic petition,"['Have done', 'Might do', 'Would never do']",False
Q116,0.247,"Among the following groups of people, how many do you believe are involved in corruption? — Civil service providers",Civil service providers,"['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know""]",False
Q167,0.246,"Which, if any, of the following do you believe in? — Hell",Hell,"['Yes', 'No']",False
Q226,0.245,In your view how often do each of the following things occur in New Zealand's elections? — TV news favours the governing party,TV news favours the governing party,"['Very often', 'Fairly often', 'Not often', 'Not at all often']",False
Q64,0.244,"Here are the names of a number of organisations. For each one, please indicate how much confidence you have in them: is it a great deal of confidence, quite a lot of confidence, not very much confidence or none at all? — The churches",The churches,"['A great deal', 'Quite a lot', 'Not very much', 'None at all', ""Don't know""]",False
Q115,0.241,"Among the following groups of people, how many do you believe are involved in corruption? — Local authorities",Local authorities,"['None of them', 'Few of them', 'Most of them', 'All of them', ""Don't know""]",False
Q214,0.241,"For each social activism action, have you done it, might do it, or would never do it? — Contacting a government official",Contacting a government official,"['Have done', 'Might do', 'Would never do']",False
Q162,0.24,"Here are some statements about science and technology. How much do you agree or disagree with each of these statements? For these questions, a 1 means that you ""completely disagree"" and a 10 means that you ""completely agree."" — It is not important for me to know about science in my daily life",It is not important for me to know about science in my daily life,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q109,0.238,How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right. — Competition is good vs Competition is harmful,Competition is good vs Competition is harmful,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q242,0.238,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell us, for each of the following things how essential you think it is as a characteristic of democracy? Use this scale where 1 means ""not at all an essential characteristic of democracy"" and 10 means it definitely is ""an essential characteristic of democracy"". — Religious authorities ultimately interpret the laws",Religious authorities ultimately interpret the laws,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q107,0.237,How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right. — Private ownership should be increased vs Government ownership should be increased,Private ownership should be increased vs Government ownership should be increased,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q244,0.237,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell us, for each of the following things how essential you think it is as a characteristic of democracy? Use this scale where 1 means ""not at all an essential characteristic of democracy"" and 10 means it definitely is ""an essential characteristic of democracy"". — People receive state aid for unemployment",People receive state aid for unemployment,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q148,0.236,To what degree are you worried about the following situations? — A civil war,A civil war,"['Very much', 'A great deal', 'Not much', 'Not at all', ""Don't know""]",False
Q154,0.234,"If you had to choose, which one of the things on this card would you say is most important? And which would be the next most important?",,"['Maintaining order in the nation', 'Giving people more say in important government decisions', 'Fighting rising prices', 'Protecting freedom of speech']",False
Q178,0.233,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Avoiding a fare on public transport",Avoiding a fare on public transport,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q176,0.232,"How much do you agree or disagree with the statement that nowadays one often has trouble deciding which moral rules are the right ones to follow? (1 = Completely agree, 10 = Completely disagree)",,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q163,0.232,"Here are some statements about science and technology. How much do you agree or disagree with each of these statements? For these questions, a 1 means that you ""completely disagree"" and a 10 means that you ""completely agree."" — The world is better off because of science and technology",The world is better off because of science and technology,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q124,0.231,"What have been the effects of immigration on the development of New Zealand? For each of the following statements, please indicate whether you agree or disagree with it. — Increases the crime rate",Increases the crime rate,"['Disagree', 'Hard to say', 'Agree']",True
Q172,0.229,"Apart from weddings and funerals, about how often do you pray?",,"['Several times a day', 'Once a day', 'Several times each week', 'Only when attending religious services', 'Once a year', 'Less often', 'Never, practically never', 'Only on special holy days']",False
Q27,0.229,"People talk about the changing roles of men and women today. For each of the following statements, please indicate how much you agree or disagree. — One of my main goals in life has been to make my parents proud",One of my main goals in life has been to make my parents proud,"['Agree strongly', 'Agree', 'Disagree', 'Strongly disagree', ""Don't know""]",True
Q45,0.226,"Listed below are various changes in our way of life that might take place in the near future. Please indicate whether you think each would be a good thing, a bad thing, or don't you mind? — Greater respect for authority",Greater respect for authority,"['Good thing', ""Don't mind"", 'Bad thing']",False
Q155,0.226,"If you had to choose, which one of the things on this card would you say is most important? And which would be the next most important?",,"['Maintaining order in the nation', 'Giving people more say in important government decisions', 'Fighting rising prices', 'Protecting freedom of speech']",False
Q171,0.224,"Apart from weddings, funerals and christenings, about how often do you attend religious services these days?",,"['More than once a week', 'Once a week', 'Once a month', 'Only on special holy days', 'Once a year', 'Less often', 'Never, practically never']",False
Q188,0.224,"Please indicate for each of the following statements whether you think it can always be justified, never be justified, or something in between. (1 = Never justifiable, 10 = Always justifiable) — Euthanasia",Euthanasia,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q152,0.223,"People sometimes talk about what the aims of this country should be for the next ten years. Listed below are some of the goals which different people would give top priority. Would you please say which one of these you, yourself, consider the most important? And which would be the next most important?",,"['A high level of economic growth', 'Strong defence forces', 'People have more say at work and in their communities', 'Making cities and countryside more beautiful']",False
Q237,0.223,"Listed below are various types of political systems. Please think about each one as a way of governing this country. For each one, would you say it is a very good, fairly good, fairly bad or very bad way of governing this country? — Having the army rule",Having the army rule,"['Very good', 'Fairly good', 'Fairly bad', 'Very bad']",False
Q92,0.223,Where are the headquarters of the International Monetary Fund (IMF) located? — Where are the headquarters of the IMF located?,Where are the headquarters of the IMF located?,"['Washington DC', 'London', 'Geneva', ""Don't know""]",False
Q93,0.222,"Which one of the following problems does the organisation, Amnesty International, deal with? — Which problem does Amnesty International deal with?",Which problem does Amnesty International deal with?,"['Climate change', 'Human rights', 'Destruction of historic monuments', ""Don't know""]",False
Q147,0.22,To what degree are you worried about the following situations? — A terrorist attack,A terrorist attack,"['Very much', 'A great deal', 'Not much', 'Not at all', ""Don't know""]",False
Q202,0.22,How often do you use each of the following information sources? — TV news,TV news,"['Daily', 'Weekly', 'Monthly', 'Less than monthly', 'Never']",False
Q136,0.219,How frequently do the following things occur in your neighbourhood? — Drug sales in streets,Drug sales in streets,"['Not at all frequently', 'Not frequently', 'Quite frequently', 'Very Frequently', ""Don't know""]",False
Q110,0.213,How would you place your views on this scale? 1 means you agree completely with the statement on the left; 10 means you agree completely with the statement on the right. — Hard work brings a better life vs Hard work doesn't bring success,Hard work brings a better life vs Hard work doesn't bring success,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q201,0.213,How often do you use each of the following information sources? — Daily newspaper,Daily newspaper,"['Daily', 'Weekly', 'Monthly', 'Less than monthly', 'Never']",False
Q253,0.21,How much respect is there for individual human rights nowadays in New Zealand? Do you feel there is:,,"['A great deal of respect', 'Fairly much respect', 'Not much respect', 'No respect at all']",False
Q133,0.209,How frequently do the following things occur in your neighbourhood? — Alcohol consumption in the streets,Alcohol consumption in the streets,"['Not at all frequently', 'Not frequently', 'Quite frequently', 'Very Frequently', ""Don't know""]",False
Q39,0.207,How much do you agree or disagree with the following statements? — People who don't work turn lazy,People who don't work turn lazy,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Strongly disagree', ""Don't know""]",False
Q200,0.207,"When you get together with friends, would you say you discuss political matters frequently, occasionally or never?",,"['Frequently', 'Occasionally', 'Never']",False
Q220,0.207,"Listed below are some other forms of political action people can take using internet and social media tools like Facebook, Twitter, etc. For each one please indicate whether you have done any of these things, whether you might do it, would never under any circumstances do it. — Organising political activities, events, protests","Organising political activities, events, protests","['Have done', 'Might do', 'Would never do']",False
Q91,0.206,Five countries have permanent seats on the Security Council of the United Nations. Which one of the following is not a member? — Countries with permanent seats on UN Security Council,Countries with permanent seats on UN Security Council,"['France', 'China', 'India', ""Don't know""]",False
Q245,0.206,"Many things are desirable, but not all of them are essential characteristics of democracy. Please tell us, for each of the following things how essential you think it is as a characteristic of democracy? Use this scale where 1 means ""not at all an essential characteristic of democracy"" and 10 means it definitely is ""an essential characteristic of democracy"". — The army takes over when government is incompetent",The army takes over when government is incompetent,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10']",False
Q94,0.205,"Listed below are different types of voluntary organisations. For each, are you an active member, an inactive member, or don't you belong? — Church or religious organisation",Church or religious organisation,"[""Don't belong"", 'Inactive member', 'Active member']",False
